id_estrella,clasificacion,periodo_orbital,duracion_transito,profundidad_transito,radio_planeta,indice_probabilidad_planeta,equilibrio_temperatura,radio_estrella,probabilidad_planeta
10907132,CANDIDATE,5.89089509,2.402,267.7,1.54,1.0,985.0,0.942,ALTO
11655826,CANDIDATE,5.59346375,1.668,236.5,1.43,1.0,1008.0,0.933,ALTO
12554634,CANDIDATE,2.049602348,1.061,186.1,1.08,1.0,1203.0,0.78,ALTO
2572029,CANDIDATE,6.0059966,3.096,39.2,0.73,1.0,1130.0,1.16,ALTO
8107611,CANDIDATE,3.8183717,2.687,50.8,1.39,1.0,1683.0,1.692,ALTO
8806985,CANDIDATE,7.53737498,3.966,41.1,0.93,1.0,1210.0,1.436,ALTO
11337012,CANDIDATE,12.4019263,4.043,211.1,1.49,1.0,713.0,0.832,ALTO
5985713,CANDIDATE,8.95294046,2.995,44.0,0.86,1.0,1012.0,1.207,ALTO
5033823,CANDIDATE,0.741768294,0.4164,60.3,72.36,1.0,3380.0,3.147,ALTO
3223433,CANDIDATE,61.083322,10.396,227.5,1.61,1.0,465.0,1.015,ALTO
9479306,CANDIDATE,4.8608059,1.966,252.1,1.21,1.0,925.0,0.757,ALTO
4919550,CANDIDATE,5.56676609,1.812,173.8,1.12,1.0,859.0,0.859,ALTO
8301878,CANDIDATE,20.7106368,2.693,142.5,1.12,1.0,626.0,0.901,ALTO
12071754,CANDIDATE,5.47455167,3.71,73.2,1.4,1.0,1155.0,1.312,ALTO
10384298,CANDIDATE,3.43861067,1.264,46.8,1.01,1.0,1348.0,1.401,ALTO
3849187,CANDIDATE,6.60180003,2.624,213.4,1.25,1.0,875.0,0.86,ALTO
11905409,CANDIDATE,18.0939004,3.294,467.3,1.91,1.0,665.0,0.867,ALTO
9571186,CANDIDATE,34.9524256,1.717,677.0,21.74,1.0,429.0,0.779,ALTO
6955671,CANDIDATE,12.6878176,4.262,293.0,2.16,1.0,851.0,1.046,ALTO
9935642,CANDIDATE,9.33955596,2.058,245.1,2.67,1.0,882.0,1.101,ALTO
7285757,CANDIDATE,7.41834569,2.462,234.0,1.12,1.0,800.0,0.732,ALTO
4262040,CANDIDATE,92.461135,14.344,122.4,2.86,1.0,564.0,2.648,ALTO
11970050,CANDIDATE,6.58753699,2.043,232.1,1.51,1.0,992.0,0.993,ALTO
10584140,CANDIDATE,4.31724247,4.126,59.0,1.01,1.0,1332.0,1.31,ALTO
6268648,CANDIDATE,94.094392,10.833,46.6,0.9,1.0,486.0,1.308,ALTO
8628665,CANDIDATE,10.2856373,3.043,134.9,1.24,1.0,864.0,1.06,ALTO
5553959,CANDIDATE,10.0100312,1.35,375.8,0.99,1.0,506.0,0.508,ALTO
5384713,CANDIDATE,12.67143692,2.498,215.8,0.76,1.0,404.0,0.529,ALTO
